accuracy,loss,val_accuracy,val_loss,learning_rate
0.296875,12.428149223327637,0.3392857015132904,11.91808032989502,9.999999747378752e-05
0.261904776096344,12.489912986755371,0.3392857015132904,11.914830207824707,9.999999747378752e-05
0.2864583432674408,12.535895347595215,0.3392857015132904,11.907873153686523,9.999999747378752e-05
0.261904776096344,12.399327278137207,0.3392857015132904,11.905985832214355,9.999999747378752e-05
0.2764706015586853,12.589787483215332,0.3392857015132904,11.900166511535645,9.999999747378752e-05
0.375,12.223383903503418,0.3392857015132904,11.898394584655762,9.999999747378752e-05
0.34705883264541626,12.44737434387207,0.3392857015132904,11.893033027648926,9.999999747378752e-05
0.296875,12.585396766662598,0.3392857015132904,11.891804695129395,9.999999747378752e-05
0.3764705955982208,12.177858352661133,0.3392857015132904,11.888006210327148,9.999999747378752e-05
0.375,12.042695045471191,0.3392857015132904,11.886255264282227,9.999999747378752e-05
0.3529411852359772,12.297751426696777,0.125,11.880524635314941,9.999999747378752e-05
0.375,12.130849838256836,0.0535714291036129,11.877787590026855,9.999999747378752e-05
0.2705882489681244,12.422718048095703,0.0535714291036129,11.87047290802002,9.999999747378752e-05
0.265625,12.51142406463623,0.0535714291036129,11.867738723754883,9.999999747378752e-05
0.28823530673980713,12.33726978302002,0.0535714291036129,11.860536575317383,9.999999747378752e-05
0.34375,12.203457832336426,0.0535714291036129,11.857915878295898,9.999999747378752e-05
